Unnamed: 0,Enter your name,Enter your email id,What  Age Group do you fall in,Kindly mention your gender,Do you currently own a two-wheeler?,"According to your age group, which bike type is most suitable?  ",Why do you think this type of bike suits your age group best? ,Best bike type for Below 20 years (students/young riders):,Best bike type for 21–30 years (working professionals/young adults):,Best bike type for 31–40 years (family-oriented riders):,  Best bike type for 41–50 years (mid-age riders):,Best bike type for 51 years & above (senior riders):,"When choosing a bike, which feature is most important to you?  ",What price range is affordable for your age group?  ,Do you think electric bikes are a good option for your age group?  ,Timestamp,"According to your age group, which bike type is most suitable?","When choosing a bike, which feature is most important to you?",What price range is affordable for your age group?,Do you think electric bikes are a good option for your age group?
Unknown,SHAKTHI MOUNISH M ,mounishm1997@gmail.com,21-30 Years,Male,Yes – Sports Bike,Sports Bike (performance-oriented),Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Lightweight Scooter,Performance (Speed / Pickup),"Above ₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Srujana Deshpande ,srujanadeshpande84@gmail.com,Below 20 years,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Lightweight Scooter,Mileage / Fuel efficiency,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Renisha Gonsalves ,renishagonsalves440@gmail.com,Below 20 years,Female,No,"Scooter (gearless, lightweight)",Safety features,"Scooter (lightweight, gearless)",Electric Bike,Electric bike (eco-friendly + low maintenance),Electric Bike,Electric Scooter/Bike,"Safety (Brakes, ABS, handling)","Below ₹70,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Anto Justin Emmanuel A ,justin2005emmanuel@gmail.com,Below 20 years,Male,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Low maintenance cost,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)","Commuter (fuel-efficient, reliable)",Simple Commuter Bike (100–125cc),Mileage / Fuel efficiency,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Roselyn ,rosejenni14@gmail.com,31-40 Years,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Electric bike/scooter,Electric Bike,"Scooter (for family use, gearless)",Scooter (easy and safe to ride),Lightweight Scooter,Comfort,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Dayana ,Dd.twins0502@gmail.com,21-30 Years,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)",Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Lightweight Scooter,Performance (Speed / Pickup),"Below ₹70,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Franklin ,franklyn.036@gmail.com,31-40 Years,Male,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Safety features,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)",Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Lightweight Scooter,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Nancy V,Nancypaul819@gmail.com,Below 20 years,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Scooter (for family use, gearless)",Electric Bike,Electric Scooter/Bike,Comfort,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Amrutha S ,gammu6525@gmail.com,Below 20 years,Female,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)","Scooter (for family use, gearless)",Scooter (easy and safe to ride),Lightweight Scooter,"Safety (Brakes, ABS, handling)","₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Bhaskar ,bhaskarsap19@gmail.com,Below 20 years,Male,No,Sports Bike (performance-oriented),Stylish design / Looks,"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),"Scooter (for family use, gearless)",Scooter (easy and safe to ride),Electric Scooter/Bike,"Safety (Brakes, ABS, handling)","₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
